"BMD Export","BMD-Export"
"Only completed BMD batches can be re-exported.","Nur abgeschlossene BMD-Exportläufe können erneut exportiert werden."
"Uploaded account file does not exist.","Die hochgeladene Kontendatei ist nicht vorhanden."
"Account file needs an account-number and account-name column.","Die Kontendatei benötigt eine Spalte für Kontonummer und Kontobezeichnung."
"Only XLSX and CSV account files are supported.","Es werden nur XLSX- und CSV-Kontendateien unterstützt."
"Account name is empty.","Die Kontobezeichnung ist leer."
"Duplicate account number in import file.","Doppelte Kontonummer in der Importdatei."
"Account import contains invalid rows; nothing was written.","Der Kontenimport enthält ungültige Zeilen; es wurden keine Daten geschrieben."
"{0} {1} belongs to another company.","{0} {1} gehört zu einem anderen Unternehmen."
"Unsupported voucher type {0}.","Nicht unterstützte Belegart {0}."
"{0} {1} is not submitted.","{0} {1} ist nicht gebucht."
"{0} {1} has an invalid conversion rate.","{0} {1} hat einen ungültigen Wechselkurs."
"{0} {1} contains an invalid item-wise tax reference ({2}, {3}).","{0} {1} enthält eine ungültige positionsbezogene Steuerreferenz ({2}, {3})."
"Invoice item {0} has no {1} account.","Rechnungsposition {0} hat kein {1}."
"income","Erlöskonto"
"expense","Aufwandskonto"
"Unable to generate the Sales Invoice PDF: {0}","Das PDF der Ausgangsrechnung konnte nicht erzeugt werden: {0}"
"Unable to read attachment {0}: {1}","Anhang {0} konnte nicht gelesen werden: {1}"
"{0} {1} requires an attachment.","{0} {1} benötigt einen Anhang."
"Attachment {0} is empty.","Anhang {0} ist leer."
"Attachment {0} exceeds {1} MB.","Anhang {0} überschreitet {1} MB."
"Attachment extension {0} is not allowed.","Dateiendung {0} des Anhangs ist nicht erlaubt."
"Attachment MIME type {0} is not allowed.","MIME-Typ {0} des Anhangs ist nicht erlaubt."
"Attachment extension {0} does not match MIME type {1}.","Dateiendung {0} des Anhangs passt nicht zum MIME-Typ {1}."
"Missing {0} mapping.","Fehlende Zuordnung für {0}."
"Multiple equally ranked {0} mappings match.","Mehrere gleichrangige Zuordnungen für {0} passen."
"party","Partner"
"account","Konto"
"tax","Steuer"
"dimension","Dimension"
"BMD account mapping {0} points to an inactive account.","BMD-Kontenzuordnung {0} verweist auf ein inaktives Konto."
"Missing {0} dimension mapping.","Fehlende Dimensionszuordnung für {0}."
"Multiple source dimensions resolve to {0}.","Mehrere Quelldimensionen werden zu {0} aufgelöst."
"BMD Export is disabled for {0}.","Der BMD-Export ist für {0} deaktiviert."
"BMD Export Profile {0} is inactive.","Das BMD-Exportprofil {0} ist inaktiv."
"Batch {0} cannot be validated in status {1}.","Exportlauf {0} kann im Status {1} nicht validiert werden."
"No unexported invoices match the selection.","Keine noch nicht exportierten Rechnungen entsprechen der Auswahl."
"The batch contains {0} Satzart 0 rows; maximum is {1}.","Der Exportlauf enthält {0} Satzart-0-Zeilen; maximal zulässig sind {1}."
"Batch {0} must be Ready before generation.","Exportlauf {0} muss vor der Erzeugung bereit sein."
"Preview fingerprint changed for {0} {1}; validate again.","Der Fingerabdruck der Vorschau für {0} {1} hat sich geändert; bitte erneut validieren."
"BMD batch {0} is already being generated.","BMD-Exportlauf {0} wird bereits erzeugt."
"Batch {0} is not in Generating status.","Exportlauf {0} befindet sich nicht im Status Wird erzeugt."
"Document filename template must contain between 1 and 1,000 characters.","Die Vorlage für Dokumentdateinamen muss zwischen 1 und 1.000 Zeichen enthalten."
"Invalid document filename template: {0}","Ungültige Vorlage für Dokumentdateinamen: {0}"
"Unable to render document filename template: {0}","Die Vorlage für Dokumentdateinamen konnte nicht gerendert werden: {0}"
"Document filename template rendered an empty or unsafe filename.","Die Vorlage für Dokumentdateinamen ergab einen leeren oder unsicheren Dateinamen."
"Attachment has no safe file extension.","Der Anhang hat keine sichere Dateiendung."
"Export filename {0} cannot be represented using {1}.","Exportdateiname {0} kann mit {1} nicht dargestellt werden."
"Unable to create a collision-free export filename.","Es konnte kein eindeutiger Exportdateiname erzeugt werden."
"ZIP entry {0} must be a plain filename.","ZIP-Eintrag {0} muss ein einfacher Dateiname sein."
"ZIP contains duplicate filenames.","Das ZIP enthält doppelte Dateinamen."
"{0} is not a date.","{0} ist kein Datum."
"{0} must use the BMD JJJJMM format.","{0} muss das BMD-Format JJJJMM verwenden."
"BMD field {0} exceeds {1} characters.","BMD-Feld {0} überschreitet {1} Zeichen."
"Unknown BMD fields: {0}","Unbekannte BMD-Felder: {0}"
"Unable to render BMD row {0}: {1}","BMD-Zeile {0} konnte nicht ausgegeben werden: {1}"
"CSV content cannot be represented using {0}.","Der CSV-Inhalt kann mit {0} nicht dargestellt werden."
"Invoice produced no Satzart 0 rows.","Die Rechnung hat keine Satzart-0-Zeilen erzeugt."
"BMD gross {0} does not match invoice gross {1}.","BMD-Brutto {0} stimmt nicht mit dem Rechnungsbrutto {1} überein."
"Satzart 1 amounts do not equal the preceding booking line net amount.","Die Satzart-1-Beträge entsprechen nicht dem Nettobetrag der vorherigen Buchungszeile."
"No control-account GL Entry exists for {0} {1}.","Für {0} {1} existiert keine Sachkontobuchung auf dem Personenkonto."
"Control-account GL amount {0} does not match invoice amount {1}.","Der Sachkontobetrag des Personenkontos {0} stimmt nicht mit dem Rechnungsbetrag {1} überein."
"Unsupported tax amount source {0}.","Nicht unterstützte Quelle des Steuerbetrags {0}."
"Unsupported tax sign rule {0}.","Nicht unterstützte Steuervorzeichenregel {0}."
"Every invoice item must resolve to exactly one BMD tax component.","Jede Rechnungsposition muss genau zu einer BMD-Steuerkomponente aufgelöst werden."
"Supplier Invoice Number is configured as BMD voucher number, but bill_no is empty.","Die Lieferantenrechnungsnummer ist als BMD-Belegnummer konfiguriert, aber bill_no ist leer."
"Invoice contains no exportable booking groups.","Die Rechnung enthält keine exportierbaren Buchungsgruppen."
"Item groups differ from the invoice net total by {0}.","Die Positionsgruppen weichen um {0} von der Nettosumme der Rechnung ab."
"Mapped gross amount differs from the invoice total by {0}.","Der zugeordnete Bruttobetrag weicht um {0} von der Rechnungssumme ab."
"Mapped foreign amount differs from the invoice total by {0}.","Der zugeordnete Fremdwährungsbetrag weicht um {0} von der Rechnungssumme ab."
"Valid From must not be later than Valid To.","Gültig ab darf nicht nach Gültig bis liegen."
"{0} must contain 1 to 10 digits.","{0} muss 1 bis 10 Ziffern enthalten."
"{0} belongs to another company.","{0} gehört zu einem anderen Unternehmen."
"Standard BMD profiles can only be created by the app setup.","Standard-BMD-Profile können nur durch die App-Einrichtung erstellt werden."
"The app-provided BMD standard profile is immutable; create a copy instead.","Das von der App bereitgestellte BMD-Standardprofil ist unveränderlich; erstellen Sie stattdessen eine Kopie."
"Unsupported BMD delimiter.","Nicht unterstütztes BMD-Trennzeichen."
"Unsupported BMD encoding.","Nicht unterstützte BMD-Kodierung."
"Decimal separator must be a dot or comma.","Das Dezimaltrennzeichen muss ein Punkt oder Komma sein."
"Decimal separator and field delimiter must differ.","Dezimaltrennzeichen und Feldtrennzeichen müssen unterschiedlich sein."
"BMD decimal precision must be between 0 and 12.","Die BMD-Dezimalstellen müssen zwischen 0 und 12 liegen."
"BMD export profile contains duplicate columns.","Das BMD-Exportprofil enthält doppelte Spalten."
"Unsupported BMD columns: {0}","Nicht unterstützte BMD-Spalten: {0}"
"Required BMD columns are missing: {0}","Erforderliche BMD-Spalten fehlen: {0}"
"The BMD text column must be the last export column.","Die BMD-Textspalte muss die letzte Exportspalte sein."
"Batch item company must match the export batch.","Das Unternehmen der Exportposition muss dem Exportlauf entsprechen."
"Items of completed BMD export batches are immutable.","Positionen abgeschlossener BMD-Exportläufe sind unveränderlich."
"Items of completed BMD export batches cannot be deleted.","Positionen abgeschlossener BMD-Exportläufe können nicht gelöscht werden."
"BMD tax code is required and may contain at most four characters.","Der BMD-Steuercode ist erforderlich und darf höchstens vier Zeichen enthalten."
"OSS target country may contain at most four characters.","Das OSS-Zielland darf höchstens vier Zeichen enthalten."
"An equally specific tax mapping overlaps this validity period.","Eine gleich spezifische Steuerzuordnung überschneidet diesen Gültigkeitszeitraum."
"Re-exports must be created through the BMD manager workflow.","Wiederholungsexporte müssen über den BMD-Manager-Ablauf erstellt werden."
"From Date must not be later than To Date.","Von Datum darf nicht nach Bis Datum liegen."
"Select at least one invoice type.","Wählen Sie mindestens eine Rechnungsart aus."
"BMD batch status can only be changed by the export workflow.","Der Status eines BMD-Exportlaufs kann nur durch den Exportablauf geändert werden."
"Invalid BMD batch status transition from {0} to {1}.","Ungültiger Statuswechsel des BMD-Exportlaufs von {0} zu {1}."
"Completed BMD export batches are immutable.","Abgeschlossene BMD-Exportläufe sind unveränderlich."
"{0} must contain valid JSON.","{0} muss gültiges JSON enthalten."
"Unknown BMD export status {0}.","Unbekannter BMD-Exportstatus {0}."
"Completed BMD export batches cannot be deleted.","Abgeschlossene BMD-Exportläufe können nicht gelöscht werden."
"BMD account {0} already exists for this company.","BMD-Konto {0} ist für dieses Unternehmen bereits vorhanden."
"BMD person account","BMD-Personenkonto"
"Party Type must be Customer or Supplier.","Die Partnerart muss Kunde oder Lieferant sein."
"An equally ranked party mapping overlaps this validity period.","Eine gleichrangige Partnerzuordnung überschneidet diesen Gültigkeitszeitraum."
"Only one BMD Export Settings record is allowed per company.","Pro Unternehmen ist nur ein Datensatz in den BMD-Exporteinstellungen zulässig."
"CSV filename must be a plain filename ending in .csv.","Der CSV-Dateiname muss ein einfacher Dateiname mit der Endung .csv sein."
"Maximum booking rows must be between 1 and 20,000.","Die maximale Anzahl Buchungszeilen muss zwischen 1 und 20.000 liegen."
"Maximum attachment size must be greater than zero.","Die maximale Anhangsgröße muss größer als null sein."
"Artifact retention must be greater than zero days.","Die Aufbewahrungsdauer der Exportdateien muss größer als null Tage sein."
"The selected BMD export profile is inactive.","Das ausgewählte BMD-Exportprofil ist inaktiv."
"CSV filename cannot be represented in the selected profile encoding.","Der CSV-Dateiname kann in der Kodierung des ausgewählten Profils nicht dargestellt werden."
"An equally specific account mapping overlaps this validity period.","Eine gleich spezifische Kontenzuordnung überschneidet diesen Gültigkeitszeitraum."
"Source and BMD dimension values are required.","Quell- und BMD-Dimensionswerte sind erforderlich."
"BMD dimension values may contain at most 20 characters.","BMD-Dimensionswerte dürfen höchstens 20 Zeichen enthalten."
"Accounting Dimension Field is required.","Das Feld der Buchhaltungsdimension ist erforderlich."
"An equally ranked dimension mapping overlaps this validity period.","Eine gleichrangige Dimensionszuordnung überschneidet diesen Gültigkeitszeitraum."
"BMD Export role required.","Eine BMD-Exportrolle ist erforderlich."
"BMD Export Manager role required.","Die Rolle BMD Export Manager ist erforderlich."
"Unknown company.","Unbekanntes Unternehmen."
"Not permitted to access this BMD export batch.","Kein Zugriff auf diesen BMD-Exportlauf erlaubt."
